,Age,Candidate,Criminal_Case,District,Education,Party,State,Winner,Year,Liabilities_num,Assets_num
1415,76,Suresh Bansal,0,GHAZIABAD,Post Graduate,SP,UTTAR PRADESH,No,2019,17300000,138522059
1416,58,Rajveer Singh,0,ETAH,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,100220000,383629735
1417,54,Anand Prakash Singh Rajput,0,ETAH,Post Graduate,Rashtriya Backward Party,UTTAR PRADESH,No,2019,0,7723000
1418,34,Anuj Kumar,0,ETAH,Post Graduate,Subhashwadi Bhartiya Samajwadi Party (Subhas,UTTAR PRADESH,No,2019,0,94000
1419,55,Ashok Kumar,2,ETAH,Graduate,IND,UTTAR PRADESH,No,2019,0,12720000
1420,59,Atar Singh,0,ETAH,Post Graduate,Rashtriya Shoshit Samaj Party,UTTAR PRADESH,No,2019,445000,7891600
1421,58,Bharat Singh,1,ETAH,Graduate,Rashtriya Kranti Party,UTTAR PRADESH,No,2019,190000,1550000
1422,47,Hariom,0,ETAH,12th Pass,IND,UTTAR PRADESH,No,2019,3108762,2670854
1423,56,Indrapal,0,ETAH,Literate,Rashtriya Surya Prakash Party,UTTAR PRADESH,No,2019,0,1102500
1424,70,Ku. Devendra Singh Yadav,0,ETAH,Doctorate,SP,UTTAR PRADESH,No,2019,53156203,2046415655
1425,50,Mukesh Rajput,0,FARRUKHABAD,Graduate,BJP,UTTAR PRADESH,Yes,2019,388246,74964501
1426,58,Luxman,2,FARRUKHABAD,Graduate Professional,SHS,UTTAR PRADESH,No,2019,0,2512801
1427,54,Manoj Agarwal,2,FARRUKHABAD,Graduate,BSP,UTTAR PRADESH,No,2019,174106490,547843588
1428,29,Rahul Kumar,0,FARRUKHABAD,Post Graduate,IND,UTTAR PRADESH,No,2019,0,613256
1429,62,Dr. Mahendra Nath Pandey,0,CHANDAULI,Doctorate,BJP,UTTAR PRADESH,Yes,2019,0,33359734
1430,66,Arjun Pandey,0,CHANDAULI,Post Graduate,Atulya Bharat Party,UTTAR PRADESH,No,2019,38000,255000
1431,35,Byasmuni,0,CHANDAULI,Post Graduate,Kanshiram Bahujan Dal,UTTAR PRADESH,No,2019,0,194939
1432,31,Jangbahadur,0,CHANDAULI,12th Pass,Bhartiya Manav Samaj Party,UTTAR PRADESH,No,2019,0,10694000
1433,44,Naresh Chandra,1,ETAH,Post Graduate,Bhartiya Shakti Chetna Party,UTTAR PRADESH,No,2019,2701468,3743729
1434,53,Parvati Nandan,0,ETAH,Post Graduate,Rashtriya Bharatiya Jan Jan Party,UTTAR PRADESH,No,2019,0,7020269
1435,45,Rashmi Yadav,0,ETAH,Doctorate,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,506000,8398348
1436,66,Salman Khurshid,1,FARRUKHABAD,Post Graduate,INC,UTTAR PRADESH,No,2019,0,384280845
1437,47,Sanjay Kumar,0,FARRUKHABAD,10th Pass,IND,UTTAR PRADESH,No,2019,2492188,7689598
1438,56,Shree Krishan,0,FARRUKHABAD,12th Pass,Mazdoor Dalit Kisaan Mahila Gareeb Party (Hin,UTTAR PRADESH,No,2019,0,23595341
1439,47,Krishna Pratap Singh,0,CHANDAULI,Post Graduate,Samagra Utthan Party,UTTAR PRADESH,No,2019,104000,6803000
1440,68,Liyakat Ali,0,CHANDAULI,Graduate Professional,IND,UTTAR PRADESH,No,2019,160626,11973165
1441,63,Mahender Yadav,0,CHANDAULI,Graduate Professional,Pragatisheel Manav Samaj Party,UTTAR PRADESH,No,2019,0,1810000
1442,67,Mahendra Pratap Singh,0,CHANDAULI,12th Pass,Al-Hind Party,UTTAR PRADESH,No,2019,0,5008000
1443,36,Rajesh Vishwakarma,0,CHANDAULI,12th Pass,Moulik Adhikar Party,UTTAR PRADESH,No,2019,0,2107000
1444,65,Satendra Kumar Panda,0,ETAH,12th Pass,IND,UTTAR PRADESH,No,2019,3218593,20993298
1445,77,Suraj Singh,0,ETAH,Post Graduate,Jan Adhikar Party,UTTAR PRADESH,No,2019,103328,13594065
1446,42,Uday Pal Singh,10,FARRUKHABAD,Graduate,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,320000,12175857
1447,30,Vipin Kumar Mishra,0,FARRUKHABAD,12th Pass,Bhartiya Shakti Chetna Party,UTTAR PRADESH,No,2019,415000,2242420
1448,32,Ramgovind,0,CHANDAULI,Graduate Professional,Suheldev Bhartiya Samaj Party,UTTAR PRADESH,No,2019,9917,197703
1449,43,Sanjay Singh Chauhan,2,CHANDAULI,Post Graduate,SP,UTTAR PRADESH,No,2019,369000,4015011
1450,52,Shiv Kanya Kushwaha,2,CHANDAULI,5th Pass,Jan Adhikar Party,UTTAR PRADESH,No,2019,24777000,66018000
1451,67,Shivratri,0,CHANDAULI,5th Pass,Prithviraj Janshakti Party,UTTAR PRADESH,No,2019,0,490000
1452,70,Santosh Kumar Gangwar,0,BAREILLY,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,13055209,126356142
1453,63,Bhagwat Saran Gangwar,2,BAREILLY,12th Pass,SP,UTTAR PRADESH,No,2019,0,31857876
1454,41,Jagpal,0,BAREILLY,8th Pass,Akhand Samaj Party,UTTAR PRADESH,No,2019,0,1406083
1455,35,Javed Khan,4,BAREILLY,Literate,IND,UTTAR PRADESH,No,2019,1300000,1414000
1456,52,Laeek Ahmad Mansoori,0,BAREILLY,Literate,Naitik Party,UTTAR PRADESH,No,2019,0,444925
1457,45,Manoj Vikat,1,BAREILLY,12th Pass,Bahujan Nyay Dal,UTTAR PRADESH,No,2019,0,121000
1458,40,Nitin Mohan,0,BAREILLY,Post Graduate,IND,UTTAR PRADESH,No,2019,0,359091
1459,61,Praveen Singh Aron,1,BAREILLY,Graduate Professional,INC,UTTAR PRADESH,No,2019,46548771,1477686028
1460,69,Ramapati Ram Tripathi,1,DEORIA,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,9310684,29451678
1461,46,Birja,0,DEORIA,Literate,Peace Party,UTTAR PRADESH,No,2019,0,1240000
1462,51,Brijendra Mani Tripathi,1,DEORIA,Graduate,IND,UTTAR PRADESH,No,2019,0,8367500
1463,31,Chandan Kumar Yadav,2,DEORIA,Graduate,Rashtriya Ulama Council,UTTAR PRADESH,No,2019,0,306073
1464,44,Ramesh Chand,6,BHADOHI,10th Pass,BJP,UTTAR PRADESH,Yes,2019,21696413,94089148
1465,51,Akhilesh,0,BHADOHI,Doctorate,NCP,UTTAR PRADESH,No,2019,270000,1232900
1466,51,Dr Rajesh Kumar Verma,0,BHADOHI,Doctorate,Peoples Party of India (Democratic),UTTAR PRADESH,No,2019,8192500,13698354
1467,40,Rabiya Akhtar,1,BAREILLY,Literate,Khusro Sena Party,UTTAR PRADESH,No,2019,0,7735000
1468,64,Raheesh Miyan,0,BAREILLY,Literate,VANCHITSAMAJ INSAAF PARTY,UTTAR PRADESH,No,2019,0,2075047
1469,61,Rakesh Agarwal Advocate,0,BAREILLY,Post Graduate,IND,UTTAR PRADESH,No,2019,0,81035000
1470,26,Saman Tahir,0,BAREILLY,Post Graduate,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,0,4382566
1471,45,Israr Ahamad,0,DEORIA,Graduate,Bharatiya Aavaam Ekta Party,UTTAR PRADESH,No,2019,0,5762743
1472,43,Jitendra,0,DEORIA,Literate,Suheldev Bhartiya Samaj Party,UTTAR PRADESH,No,2019,0,10545500
1473,45,Manoj Kumar Mishra,0,DEORIA,Graduate,Manuvadi Party,UTTAR PRADESH,No,2019,1000000,2116000
1474,31,Kuldeep,0,BHADOHI,Post Graduate,IND,UTTAR PRADESH,No,2019,0,203000
1475,60,Ram Sakha,0,BHADOHI,Graduate,IND,UTTAR PRADESH,No,2019,104000,27151000
1476,59,Ramakant,2,BHADOHI,10th Pass,INC,UTTAR PRADESH,No,2019,0,82444969
1477,59,Rangnath Mishra,5,BHADOHI,Graduate,BSP,UTTAR PRADESH,No,2019,54880849,124899017
1478,41,Satish Kumar,0,BAREILLY,Graduate,CPI,UTTAR PRADESH,No,2019,0,7376969
1479,41,Syed Rashid Ali,0,BAREILLY,Post Graduate,IND,UTTAR PRADESH,No,2019,0,10118000
1480,64,Usha Agarwal,0,BAREILLY,Post Graduate,IND,UTTAR PRADESH,No,2019,0,5857000
1481,43,Onkar Singh,0,DEORIA,Post Graduate,Samajwadi Samaj Party,UTTAR PRADESH,No,2019,1500000,59793984
1482,55,Ramashish Rai,0,DEORIA,Post Graduate,IND,UTTAR PRADESH,No,2019,300000,13327000
1483,45,Saiyyad Mohammad Arif,0,BHADOHI,8th Pass,IND,UTTAR PRADESH,No,2019,0,10660000
1484,35,Santlal,0,BHADOHI,5th Pass,IND,UTTAR PRADESH,No,2019,0,281000
1485,48,Satish Bahadur,0,BHADOHI,12th Pass,IND,UTTAR PRADESH,No,2019,0,140532
1486,50,Yatendra Singh,0,BAREILLY,Literate,Bahujan Samyak Party (Mission),UTTAR PRADESH,No,2019,1174000,19586551
1487,38,Sushil,2,BHADOHI,12th Pass,IND,UTTAR PRADESH,No,2019,0,61208
1488,42,Vinod,0,BHADOHI,Post Graduate,Hindusthan Nirman Dal,UTTAR PRADESH,No,2019,0,10154320
1489,51,Upendra Singh Rawat,1,BARABANKI,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,3171774,18050127
1490,33,Asha Devi,0,BARABANKI,8th Pass,Lok Dal,UTTAR PRADESH,No,2019,50000,105000
1491,39,Fool Dulari,0,BARABANKI,Illiterate,Samdarshi Samaj Party,UTTAR PRADESH,No,2019,0,5634959
1492,32,Kalpana Rawat,0,BARABANKI,Graduate Professional,Bharat Prabhat Party,UTTAR PRADESH,No,2019,0,20693765
1493,42,Kishan Lal,0,BARABANKI,5th Pass,IND,UTTAR PRADESH,No,2019,0,6216451
1494,32,Manju Devi,0,BARABANKI,Literate,IND,UTTAR PRADESH,No,2019,0,160000
1495,59,R.K. Singh Patel,2,BANDA,Graduate,BJP,UTTAR PRADESH,Yes,2019,0,55794086
1496,59,Balkumar Patel,8,BANDA,12th Pass,INC,UTTAR PRADESH,No,2019,13868284,43232650
1497,37,Chhotelal,0,BANDA,12th Pass,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,0,2995889
1498,42,Kamlesh Paswan,5,BANSGAON,Graduate,BJP,UTTAR PRADESH,Yes,2019,6049264,171706883
1499,49,Lalchand Prasad,0,BANSGAON,Doctorate,Rashtriya Janshakti Party (Secular),UTTAR PRADESH,No,2019,0,1294635
1500,62,Sadal Prasad,0,BANSGAON,Post Graduate,BSP,UTTAR PRADESH,No,2019,0,8702160
1501,33,Surendra Prasad,0,BANSGAON,8th Pass,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,0,130000
1502,77,Molhey Ram Rawat,0,BARABANKI,10th Pass,IND,UTTAR PRADESH,No,2019,35000,225928
1503,33,Omkar,0,BARABANKI,10th Pass,Bahujan Mukti Party,UTTAR PRADESH,No,2019,0,1280000
1504,68,Ram Sagar Rawat,5,BARABANKI,10th Pass,SP,UTTAR PRADESH,No,2019,127553,10294367
1505,62,Virendra Singh,2,BALLIA,Graduate,BJP,UTTAR PRADESH,Yes,2019,0,24498319
1506,60,Arvind,1,BALLIA,12th Pass,Bhartiya Jan Nayak Party,UTTAR PRADESH,No,2019,0,504000
1507,56,Mahendra,0,BANDA,Graduate,CPI,UTTAR PRADESH,No,2019,0,20806200
1508,26,Meera Devi,0,BANDA,Graduate,Swatantra Jantaraj Party,UTTAR PRADESH,No,2019,0,80000
1509,45,Rampratap,0,BANDA,Graduate Professional,IND,UTTAR PRADESH,No,2019,0,939923
1510,44,Shiraz Rahat Khan,0,BANDA,Graduate,Ambedkar Samaj Party,UTTAR PRADESH,No,2019,0,7653989
1511,40,Santosh Kumari,0,BARABANKI,Graduate,Dr. Bhimrao Ambedkar Dal,UTTAR PRADESH,No,2019,0,775000
1512,34,Tanuj Punia,0,BARABANKI,Graduate Professional,INC,UTTAR PRADESH,No,2019,27052,12572577
1513,50,Tarawati,0,BARABANKI,5th Pass,Awami Samta Party,UTTAR PRADESH,No,2019,610000,968500
